SequenceID	ClusterID
seq_5805	424
seq_5809	498
seq_581	114
seq_5817	499
seq_582	115
seq_5822	169
seq_5823	500
seq_5825	501
seq_5864	502
seq_5876	401
seq_588	116
seq_5881	92
seq_589	117
seq_5890	317
seq_5905	305
seq_5912	93
seq_5913	43
seq_5914	503
seq_5916	504
seq_5917	505
seq_5919	506
seq_593	118
seq_5963	507
seq_5971	508
seq_5986	509
seq_6	0
seq_601	119
seq_6018	510
seq_6026	511
seq_6028	162
seq_6039	512
seq_6042	320
seq_6050	513
seq_6052	514
seq_6055	515
seq_6056	516
seq_6076	517
seq_6087	518
seq_6089	519
seq_609	99
seq_6099	520
seq_61	5
seq_6104	521
seq_6108	31
seq_6116	9
seq_6121	522
seq_6127	523
seq_6128	524
seq_6135	525
seq_6145	289
seq_615	120
seq_6153	526
seq_6162	406
seq_6164	527
seq_6176	32
seq_6185	93
seq_6198	528
seq_620	121
seq_6200	10
seq_6218	469
seq_6226	515
seq_6234	473
seq_624	122
seq_6267	529
seq_627	123
seq_6270	530
seq_6273	531
seq_6281	496
seq_6284	359
seq_6286	532
seq_6288	533
seq_6294	534
seq_6299	359
seq_630	57
seq_633	124
seq_6330	535
seq_634	125
seq_6355	187
seq_6376	536
seq_6382	14
seq_64	6
seq_6419	15
seq_6427	54
seq_644	126
seq_645	127
seq_6468	60
seq_647	128
seq_6470	361
seq_6485	537
seq_6510	538
seq_6514	539
seq_6526	51
seq_6534	100
seq_6558	540
seq_657	129
seq_6591	541
seq_6623	542
seq_664	130
seq_6652	543
seq_666	131
seq_6676	219
seq_6683	544
seq_67	7
seq_6738	545
seq_6767	452
seq_6791	191
seq_6794	324
seq_6797	546
seq_680	132
seq_6827	280
seq_6828	189
seq_686	133
seq_6882	547
seq_6922	548
seq_695	134
seq_697	135
seq_6973	58
seq_6991	549
seq_6999	550
seq_7008	551
seq_7031	290
seq_7038	552
seq_704	136
seq_7105	553
seq_712	137
seq_7128	517
seq_713	138
seq_7134	230
seq_7149	549
seq_7162	298
seq_717	139
seq_7176	533
seq_7182	554
seq_720	61
seq_7214	61
seq_7217	85
seq_722	140
seq_729	141
seq_7302	232
seq_731	142
seq_7323	303
