SequenceID	ClusterID
seq_10945	4110
seq_10946	2978
seq_10947	3313
seq_10948	178
seq_10949	1554
seq_1095	836
seq_10950	3314
seq_10951	178
seq_10952	5038
seq_10953	5049
seq_10954	5050
seq_10955	4584
seq_10956	4216
seq_10957	4584
seq_10958	4111
seq_10959	4982
seq_1096	837
seq_10960	4984
seq_10961	369
seq_10962	5051
seq_10963	1116
seq_10964	5052
seq_10965	517
seq_10966	3609
seq_10967	5053
seq_10968	5054
seq_10969	5055
seq_1097	838
seq_10970	4267
seq_10971	4114
seq_10972	4114
seq_10973	2176
seq_10974	17
seq_10975	4115
seq_10976	1569
seq_10977	2304
seq_10978	3331
seq_10979	4116
seq_1098	839
seq_10980	3043
seq_10981	1596
seq_10982	5056
seq_10983	5057
seq_10984	378
seq_10985	5058
seq_10986	4296
seq_10987	5059
seq_10988	3118
seq_10989	632
seq_1099	840
seq_10990	5060
seq_10991	5061
seq_10992	537
seq_10993	5062
seq_10994	4585
seq_10995	5063
seq_10996	66
seq_10997	30
seq_10998	3354
seq_10999	1364
seq_11	5
seq_110	71
seq_1100	841
seq_11000	36
seq_11001	342
seq_11002	5064
seq_11003	81
seq_11004	1779
seq_11005	81
seq_11006	81
seq_11007	1780
seq_11008	1587
seq_11009	5065
seq_1101	842
seq_11010	423
seq_11011	5066
seq_11012	1591
seq_11013	2979
seq_11014	172
seq_11015	529
seq_11016	5067
seq_11017	5068
seq_11018	2384
seq_11019	4307
seq_1102	843
seq_11020	5069
seq_11021	3050
seq_11022	2177
seq_11023	4387
seq_11024	1021
seq_11025	643
seq_11026	4986
seq_11027	2178
seq_11028	4408
seq_11029	645
seq_1103	297
seq_11030	2981
seq_11031	3381
seq_11032	5070
seq_11033	2982
seq_11034	1324
seq_11035	4434
seq_11036	650
seq_11037	2626
seq_11038	1034
seq_11039	5071
seq_1104	71
seq_11040	3437
seq_11041	5072
seq_11042	2469
seq_11043	3398
seq_11044	2475
seq_11045	252
seq_11046	3401
seq_11047	5073
seq_11048	1081
seq_11049	5074
seq_1105	844
seq_11050	2179
seq_11051	3594
seq_11052	5069
seq_11053	3410
seq_11054	4119
seq_11055	3418
seq_11056	658
seq_11057	1087
seq_11058	5075
seq_11059	17
seq_1106	453
seq_11060	5076
seq_11061	3428
seq_11062	3064
seq_11063	2532
seq_11064	1226
seq_11065	3066
seq_11066	3066
seq_11067	919
seq_11068	4120
seq_11069	5077
seq_1107	26
seq_11070	5078
seq_11071	1326
seq_11072	5079
seq_11073	3613
seq_11074	224
seq_11075	1651
seq_11076	5080
seq_11077	1389
seq_11078	5081
seq_11079	5081
seq_1108	845
seq_11080	2562
seq_11081	4121
seq_11082	4992
seq_11083	5082
seq_11084	3069
seq_11085	5083
seq_11086	2581
seq_11087	5084
seq_11088	5084
seq_11089	5085
seq_1109	846
seq_11090	3614
seq_11091	3460
seq_11092	2557
seq_11093	2988
seq_11094	5082
seq_11095	2180
seq_11096	5086
seq_11097	424
seq_11098	1454
seq_11099	5087
seq_111	72
seq_1110	119
seq_11100	3079
seq_11101	5088
seq_11102	5089
seq_11103	3477
seq_11104	2629
seq_11105	2023
seq_11106	1738
seq_11107	5090
seq_11108	4442
seq_11109	679
seq_1111	847
seq_11110	5091
seq_11111	2990
seq_11112	188
seq_11113	4202
seq_11114	549
seq_11115	1145
seq_11116	5092
seq_11117	149
seq_11118	1690
seq_11119	5093
seq_1112	848
seq_11120	4735
seq_11121	5094
seq_11122	5094
seq_11123	4123
seq_11124	690
seq_11125	3085
seq_11126	4124
seq_11127	3617
seq_11128	3500
seq_11129	1603
seq_1113	849
seq_11130	2183
seq_11131	426
seq_11132	1329
seq_11133	1772
seq_11134	1709
seq_11135	345
seq_11136	1785
seq_11137	2184
seq_11138	3509
seq_11139	2559
seq_1114	850
seq_11140	4587
seq_11141	4973
seq_11142	3939
seq_11143	1307
seq_11144	1330
seq_11145	1717
seq_11146	4581
seq_11147	703
seq_11148	1331
seq_11149	3618
seq_1115	56
seq_11150	5095
seq_11151	2246
seq_11152	3527
seq_11153	3528
seq_11154	1723
seq_11155	520
seq_11156	5096
seq_11157	1413
seq_11158	2160
seq_11159	5097
seq_1116	851
seq_11160	5098
seq_11161	5099
seq_11162	5100
seq_11163	2849
seq_11164	5101
seq_11165	1516
seq_11166	1516
seq_11167	3542
seq_11168	1308
seq_11169	4999
seq_1117	194
seq_11170	2856
seq_11171	3543
seq_11172	1786
seq_11173	5102
seq_11174	3544
seq_11175	4126
seq_11176	5002
seq_11177	1738
seq_11178	600
seq_11179	3555
seq_1118	194
seq_11180	2893
seq_11181	1334
seq_11182	244
seq_11183	187
seq_11184	3560
seq_11185	3562
seq_11186	548
seq_11187	3620
seq_11188	4997
seq_11189	246
seq_1119	194
seq_11190	188
seq_11191	3107
seq_11192	5103
seq_11193	2964
seq_11194	4975
seq_11195	5004
seq_11196	3570
seq_11197	3570
seq_11198	2549
seq_11199	3572
seq_112	26
seq_1120	514
seq_11200	5104
seq_11201	5105
seq_11202	3622
seq_11203	3622
seq_11204	3109
seq_11205	1765
seq_11206	606
seq_11207	1656
seq_11208	1766
seq_11209	3585
seq_1121	852
seq_11210	5106
seq_11211	3587
seq_11212	3623
seq_11213	4311
seq_11214	1298
seq_11215	5107
seq_11216	1769
seq_11217	1770
seq_11218	1770
seq_11219	5108
seq_1122	853
seq_11220	2966
seq_11221	3591
seq_11222	736
seq_11223	1422
seq_11224	5109
seq_11225	1318
seq_11226	5110
seq_11227	5110
seq_11228	4127
seq_11229	3624
seq_1123	537
seq_11230	256
seq_11231	522
seq_11232	1339
seq_11233	1428
seq_11234	1343
seq_11235	5111
seq_11236	5112
seq_11237	1354
seq_11238	3
seq_11239	254
seq_1124	854
seq_11240	4128
seq_11241	2721
seq_11242	2185
seq_11243	5113
seq_11244	3118
seq_11245	3611
seq_11246	5113
seq_11247	30
seq_11248	3760
seq_11249	5114
seq_1125	855
seq_11250	1427
seq_11251	1421
seq_11252	4129
seq_11253	3123
seq_11254	3111
seq_11255	3118
seq_11256	114
seq_11257	3628
seq_11258	5008
seq_11259	5008
seq_1126	856
seq_11260	3628
seq_11261	5115
seq_11262	5116
seq_11263	5116
seq_11264	739
seq_11265	3761
seq_11266	742
seq_11267	1456
seq_11268	5117
seq_11269	5011
seq_1127	431
seq_11270	3762
seq_11271	5012
seq_11272	3640
seq_11273	1805
seq_11274	1807
seq_11275	589
seq_11276	2187
seq_11277	5118
seq_11278	5118
seq_11279	5119
seq_1128	857
seq_11280	5120
seq_11281	1493
seq_11282	5121
seq_11283	3648
seq_11284	4652
seq_11285	3649
seq_11286	5015
seq_11287	5122
seq_11288	3651
seq_11289	2188
seq_1129	858
seq_11290	196
seq_11291	2189
seq_11292	5123
seq_11293	1821
seq_11294	757
seq_11295	1526
seq_11296	5
seq_11297	3660
seq_11298	5
seq_11299	3133
seq_113	73
seq_1130	859
seq_11300	5
seq_11301	5
seq_11302	5
seq_11303	1825
seq_11304	5124
seq_11305	5124
seq_11306	3136
seq_11307	1792
seq_11308	5018
seq_11309	1090
seq_1131	860
seq_11310	5125
seq_11311	5126
seq_11312	758
seq_11313	5127
seq_11314	5128
seq_11315	5128
seq_11316	2996
seq_11317	2996
seq_11318	48
seq_11319	48
seq_1132	861
seq_11320	48
seq_11321	175
seq_11322	1828
seq_11323	427
seq_11324	3326
seq_11325	1563
seq_11326	5129
seq_11327	5130
seq_11328	264
seq_11329	2852
seq_1133	862
seq_11330	5131
seq_11331	5132
seq_11332	1839
seq_11333	2997
seq_11334	1339
seq_11335	2247
seq_11336	644
seq_11337	1794
seq_11338	726
seq_11339	1035
seq_1134	863
seq_11340	5133
seq_11341	3631
seq_11342	3151
seq_11343	3698
seq_11344	5134
seq_11345	3700
seq_11346	3153
seq_11347	3704
seq_11348	3421
seq_11349	5135
seq_1135	864
seq_11350	2190
seq_11351	1444
seq_11352	1445
seq_11353	5136
seq_11354	772
seq_11355	1856
seq_11356	5137
seq_11357	1795
seq_11358	740
seq_11359	778
seq_1136	865
seq_11360	778
seq_11361	3633
seq_11362	364
seq_11363	1669
seq_11364	4313
